monitoring_location,stn_code,latitude,longitude,geocode_query,geocoded
Pabbar At D/S Swarakuddu,2619,,,,False
"Well At Kala Amb,",1555,31.6928633,76.796236,"kala, Himachal Pradesh, India",True
Ground Water At Barotiwala,1559,30.9058213,76.8401329,"barotiwala, Himachal Pradesh, India",True
Ground Water At Shimla D/S Of Msw Dumping Site,1872,,,,False
Ground Water At Dharamshala Kangra D/S Of Msw Dumping Site,1873,,,,False
Ground Water At Solan-D/S Of Msw Dumping Site Salogra,1874,30.934895,77.1308917,"salogra, Himachal Pradesh, India",True
Ground Water At Baddi Industrial Area,1877,31.4024304,76.4129499,"industrial, Himachal Pradesh, India",True
Ground Water At Barotiwala Industrial Area,1878,31.4024304,76.4129499,"industrial, Himachal Pradesh, India",True
Ground Water At Nalagarh Industrial Area,1879,31.4024304,76.4129499,"industrial, Himachal Pradesh, India",True
Ground Water At Kala Amb Industrial Area,1880,31.4024304,76.4129499,"industrial, Himachal Pradesh, India",True
Ground Water At Paonta Sahib Industrial Area,1881,31.4024304,76.4129499,"industrial, Himachal Pradesh, India",True
Ground Water At Mehatpur Industrial Area,1882,31.4024304,76.4129499,"industrial, Himachal Pradesh, India",True
Ground Water At Una Industrial Area,1883,31.4024304,76.4129499,"industrial, Himachal Pradesh, India",True
2633,GEN-FC03D4,30.8201912,77.2390968,"2633, Himachal Pradesh, India",True
Hand Pump At Sansarpur Terrace Ia,2640,32.2385995,76.3245066,"terrace, Himachal Pradesh, India",True
Borewell Of Dic Una At Ia Jeetpur Behri,4434,31.5646505,77.0266807,"behri, Himachal Pradesh, India",True
"Infting Water Suply Scheme Samshi, Near Sabji Mandi Bhuntar, Tehsil Kullu, Distt Kullu",4478,31.9612931,77.1089857,"kullu distt kullu, Himachal Pradesh, India",True
Ground Water Supply Scheme (Mc Una),4483,,,,False
"Pongdam Lake At Pong Village,",1292,32.0083127,76.0378237,"lake pong, Himachal Pradesh, India",True
"Salani Nallah Near Bridge, Nh-7, Moginand Kala Amb",3861,31.6928633,76.796236,"kala, Himachal Pradesh, India",True
"Roon Nallah Near Meerpur Kotla, Gurudwara",3865,31.9634943,77.1150988,"gurudwara, Himachal Pradesh, India",True
Surajmukhi Nallah U/S Dwss Galayana Near M/S Shoolini University,3875,30.8644984,77.1181494,"shoolini university, Himachal Pradesh, India",True
"Bhatian Nallah U/S Bhatian Village, Nalagarh",3879,31.1059814,76.6567018,"nalagarh, Himachal Pradesh, India",True
"Bhatian Nallah D/S Sara Textile, Nalagarh",3881,31.1059814,76.6567018,"nalagarh, Himachal Pradesh, India",True
Taalo Nala (From Nahar Town) At Khaddar Ka Bagh B/C To River Markanda,4029,31.7430361,77.208108,"markanda, Himachal Pradesh, India",True
Sahu Nallah U/S Bhuri Singh Shep,4034,,,,False
Sahu Nallah D/S Bhuri Singh Shep,4035,,,,False
Raw Water From At Churat Nallah,4425,32.2637513,77.2436247,"nallah, Himachal Pradesh, India",True
Lift Nallah Before Confluence To Ashwani Khad Near Dogrha Bridge,4430,,,,False
Sainj Nallah (U/S Sainj Water Supply Scheme),4462,,,,False
Dhaneson Nallah (U/S Sainj Water Supply Scheme),4463,,,,False
"Nallah, Halog Water Supply Scheme Bag Khanerei, Halog",4474,31.1864861,77.0365941,"halog, Himachal Pradesh, India",True
"Machada Nallah, Majhouti Water Supply Scheme New Nirsoo, Majhouti",4475,,,,False
Manalsu Nala (( Water Supply Scheme For Manali Town U/S Of Old Manali Thesil Manali Dist Kullu,4476,32.241254,77.1886737,"manali dist kullu, Himachal Pradesh, India",True
Khalada Nala Water Supply Scheme Kullu Town Tehsil Kullu,4477,31.9578974,77.1089232,"kullu, Himachal Pradesh, India",True
Surajmukhi Nallah D/S Stp Samti Solan,4480,30.9077569,77.1023645,"solan, Himachal Pradesh, India",True
Hathli Nallah Lift Water Supply Scheme For Municipal Council Hamirpur,4481,31.6539866,76.5403633,"hamirpur, Himachal Pradesh, India",True
Lift Water Supply Scheme (Panjarar) And Bhota Ropari & Ujhan,4482,,,,False
Markanda River At Kala Amb U/S (H.P),30008,31.6928633,76.796236,"kala, Himachal Pradesh, India",True
Alhi River-Nog(Near Water Supply Scheme Intake)Tributary Of River Satluj,4464,31.7052776,76.9372256,"satluj, Himachal Pradesh, India",True
Harabagh(Intake From Bbmb Source-Bbmb Adit Harabgh)Wate Spring,4465,32.2062827,76.3713131,"spring, Himachal Pradesh, India",True
"Kunni Pul, Vill Samahu, Po Kunihar, Tehsil Arki",4036,31.1524854,76.9428892,"arki, Himachal Pradesh, India",True
Manjhi Khad U/S Dharamshala Of Khaniyara,4023,32.2146357,76.3862567,"khad dharamshala khaniyara, Himachal Pradesh, India",True
Manjhi Khad D/S Dharamshala At Chetru,4024,32.2002258,76.3280545,"khad dharamshala chetru, Himachal Pradesh, India",True
"Markanda River At Paonta, Distt. Sirmour",1871,30.4968292,77.4733243,"sirmour, Himachal Pradesh, India",True
Markanda U/S Kala Amb,2624,31.6928633,76.796236,"kala, Himachal Pradesh, India",True
Markanda River D/S Of Salani Khad,3862,31.7776686,76.9049191,"khad, Himachal Pradesh, India",True
Rampur Jattan Moginand Nala Before Confluence To River Markanda Near Radha Swami Satsang Bhawan,3863,32.1960814,76.3446847,"satsang bhawan, Himachal Pradesh, India",True
Markanda River D/S Of Moginand Nala,3864,31.0743821,77.2879136,"nala, Himachal Pradesh, India",True
Mol Khad U/S Palampu,4025,,,,False
Mol Khad D/S Palampu,4026,,,,False
River Tirthan B/C To River Satluj,4038,31.7052776,76.9372256,"satluj, Himachal Pradesh, India",True
River Beas D/S Of Wpf At Manali,4444,32.2397708,77.1910992,"beas manali, Himachal Pradesh, India",True
River Beas D/S Manalsu Nallah,4037,32.2637513,77.2436247,"nallah, Himachal Pradesh, India",True
River Beas D/S Of Wpf At Kullu,4445,32.2397708,77.1910992,"beas kullu, Himachal Pradesh, India",True
Beas At U/S Pandoh Dam,1004,31.6737338,77.0493132,"beas pandoh, Himachal Pradesh, India",True
River Beas U/S Sujanpur Tihra,4435,31.755596,76.66595,"tihra, Himachal Pradesh, India",True
River Beas D/S Sujanpur Tihra,4436,31.755596,76.66595,"tihra, Himachal Pradesh, India",True
River Beas U/S Nadaum Town,4437,32.2458877,77.1903951,"town, Himachal Pradesh, India",True
River Beas D/S Nadaun Town After Confluence Of Maan Khad,4438,31.7776686,76.9049191,"khad, Himachal Pradesh, India",True
River Beas At Raison,4443,31.9865445,77.1296724,"beas raison, Himachal Pradesh, India",True
Beas At Talwara (Pong Dam),30083,32.003759,76.0493876,"pong, Himachal Pradesh, India",True
"Sutlej River B/C With River Spiti At Khab, Distt.Kinnaur",1867,31.4276016,78.2646884,"distt.kinnaur, Himachal Pradesh, India",True
Sutlej At Khab,2611,31.7998055,78.6442982,"khab, Himachal Pradesh, India",True
Sutlej River D/S Tidong Hep,3872,31.4597265,78.5667887,"river tidong, Himachal Pradesh, India",True
River Sutlej U/S Confluences Of River Tidong,4448,31.4597265,78.5667887,"river tidong, Himachal Pradesh, India",True
River Sutlej D/S Confluences Of River Tidong,4449,31.4597265,78.5667887,"river tidong, Himachal Pradesh, India",True
River Sutlej U/S Confluences Of River Baspa,4452,31.350984,78.4141363,"river baspa, Himachal Pradesh, India",True
River Sutlej D/S Confluences Of River Baspa,4453,31.350984,78.4141363,"river baspa, Himachal Pradesh, India",True
Sutlej River D/S Power House Kashang Hep,3871,31.6043,78.18326,"kashang, Himachal Pradesh, India",True
Sutlej B/C With Karcham Drain,3870,,,,False
Sutlej At Neptha Zakhai,1389,,,,False
Sutlej River D/S Trt Of Rampur Hydel Electric Project,3869,32.1833358,76.5574889,"electric project, Himachal Pradesh, India",True
Sutlej At U/S Rampur,1086,31.4408018,77.6281589,"sutlej rampur, Himachal Pradesh, India",True
Sutlej At D/S Rampur,1087,31.4408018,77.6281589,"sutlej rampur, Himachal Pradesh, India",True
Sutlej At U/S Tatapani,1013,32.12184,76.7181153,"tatapani, Himachal Pradesh, India",True
River Sutlej U/S Iandfill Site Rampur,4446,31.5091373,77.7709741,"rampur, Himachal Pradesh, India",True
River Stluj D/S Landfill Site Rampur,4447,31.5091373,77.7709741,"rampur, Himachal Pradesh, India",True
Sutlej At U/S Slapper,1014,31.4150054,76.8620008,"slapper, Himachal Pradesh, India",True
Sutlej At D/S Slapper,1015,31.4150054,76.8620008,"slapper, Himachal Pradesh, India",True
Sutlej At D/S Bhakhra,1016,,,,False
Sutlej At U/S Khairian Solid Waste Dumping Site Bilaspur,4032,31.3380959,76.7611631,"bilaspur, Himachal Pradesh, India",True
Sutlej At D/S Khairian Solid Waste Dumping Site Bilaspur,4033,31.3380959,76.7611631,"bilaspur, Himachal Pradesh, India",True
River Sutlej U/S Confluence With Ganvi Khand,4450,32.7706847,75.9552687,"khand, Himachal Pradesh, India",True
River Sutlej D/S Confluence With Ganvi Khad,4451,31.7776686,76.9049191,"khad, Himachal Pradesh, India",True
Ravi At D/S At Chamera Iii Hep,2615,31.1550312,77.5138879,"chamera, Himachal Pradesh, India",True
"Largi At D/S, Dwada",1090,,,,False
"Sukhana River At Parwanoo, Distt. Solan",1870,30.837887,76.9601747,"parwanoo distt. solan, Himachal Pradesh, India",True
Swan River B/C Of Garni Khad,4030,31.7776686,76.9049191,"khad, Himachal Pradesh, India",True
Swan River A/C Garni Khad,4031,31.7776686,76.9049191,"khad, Himachal Pradesh, India",True
Swan River D/S Of Una At Rampur Bridge,4433,31.5091373,77.7709741,"rampur, Himachal Pradesh, India",True
River Tirthan B/C To River Sutlej,4038,31.5474177,76.9303228,"sutlej, Himachal Pradesh, India",True
River Pabbar U/S Hatkoti,4039,31.1308028,77.7457165,"hatkoti, Himachal Pradesh, India",True
Alhi River-Nog(Near Water Supply Scheme Intake)Tributary Of River Sutlej,4464,31.5474177,76.9303228,"sutlej, Himachal Pradesh, India",True
"River Ashwani, Kunni Pul, Vill Samahu, Po Kunihar, Tehsil Arki",4036,31.1524854,76.9428892,"arki, Himachal Pradesh, India",True
Ashwani River At Sadhupul (U/S Of Bridge Towards Chail.),4479,30.9689104,77.1981859,"chail., Himachal Pradesh, India",True
Baner Khad U/S Chamunda Temple,4457,32.1835023,76.4370533,"chamunda temple, Himachal Pradesh, India",True
Baner Khad D/S Chamunda Temple,4458,32.1835023,76.4370533,"chamunda temple, Himachal Pradesh, India",True
Charan Khad U/S Bhagsunag,4460,32.2002258,76.3280545,"khad bhagsunag, Himachal Pradesh, India",True
